actorID,Actor
1,Tom Hanks
2,Tim Allen
3,Don Rickles
4,Robin Williams
5,Kirsten Dunst
6,Bonnie Hunt
7,Walter Matthau
8,Jack Lemmon
9,Ann-Margret
10,Whitney Houston
11,Angela Bassett
12,Loretta Devine
13,Steve Martin
14,Diane Keaton
15,Martin Short
16,Al Pacino
17,Robert De Niro
18,Val Kilmer
19,Harrison Ford
20,Julia Ormond
21,Greg Kinnear
22,Jonathan Taylor Thomas
23,Brad Renfro
24,Charles Rocket
25,Jean-Claude Van Damme
26,Powers Boothe
27,Raymond J. Barry
28,Pierce Brosnan
29,Sean Bean
30,Izabella Scorupco
31,Michael Douglas
32,Annette Bening
33,Martin Sheen
34,Leslie Nielsen
35,Mel Brooks
36,Peter MacNicol
37,Kevin Bacon
38,Bob Hoskins
39,Bridget Fonda
40,Anthony Hopkins
41,Joan Allen
42,Geena Davis
43,Matthew Modine
44,Frank Langella
45,Sharon Stone
46,Joe Pesci
47,Emma Thompson
48,Kate Winslet
49,James Fleet
50,Tim Roth
51,Amanda De Cadenet
52,David Proval
53,Jim Carrey
54,Ian McNeice
55,Simon Callow
56,Wesley Snipes
57,Woody Harrelson
58,Jennifer Lopez
59,Gene Hackman
60,Rene Russo
61,Danny DeVito
62,Sigourney Weaver
63,Holly Hunter
64,Dermot Mulroney
65,Sylvester Stallone
66,Antonio Banderas
67,Julianne Moore
68,Mary Steenburgen
69,Sean Patrick Flanery
70,Lance Henriksen
71,Nicolas Cage
72,Elisabeth Shue
73,Julian Sands
74,Laurence Fishburne
75,Kenneth Branagh
76,Irène Jacob
77,Christina Ricci
78,Demi Moore
79,Rosie O'Donnell
80,Amanda Root
81,Ciarán Hinds
82,Susan Fleetwood
83,Ron Perlman
84,Daniel Emilfork
85,Judith Vittet
86,Li Gong
87,Baotian Li
88,Xiaoxiao Wang
89,Michelle Pfeiffer
90,George Dzundza
91,Courtney B. Vance
92,Bruce Willis
93,Madeleine Stowe
94,Brad Pitt
95,Craig Sheffer
96,Elizabeth McGovern
97,Tom Hulce
98,James Cromwell
99,Magda Szubanski
100,Christine Cavanaugh
101,Jonathan Pryce
102,Steven Waddington
103,Susan Sarandon
104,Sean Penn
105,Robert Prosky
106,Peter Reznick
107,John McDonough
108,Avi Hoffman
109,Kirstie Alley
110,Steve Guttenberg
111,Mary-Kate Olsen
112,Alicia Silverstone
113,Stacey Dash
114,Brittany Murphy
115,Richard Harris
116,James Earl Jones
117,Vusi Kunene
118,Ian McKellen
119,Jim Broadbent
120,Larenz Tate
121,Keith David
122,Chris Tucker
123,Robert Downey Jr.
124,Sam Neill
125,David Thewlis
126,Christopher Lambert
127,Robin Shou
128,Linden Ashby
129,Nicole Kidman
130,Matt Dillon
131,Joaquin Phoenix
132,Winona Ryder
133,Ellen Burstyn
134,Anne Bancroft
135,Morgan Freeman
136,Kevin Spacey
137,Mel Gibson
138,Linda Hunt
139,Christian Bale
140,Pascale Bussières
141,Rachael Crawford
142,Henry Czerny
143,Gabriel Byrne
144,Chazz Palminteri
145,Cynthia Rothrock
146,Daniel McVicar
