directorID,Director
1,John Lasseter
2,Joe Johnston
3,Howard Deutch
4,Forest Whitaker
5,Charles Shyer
6,Michael Mann
7,Sydney Pollack
8,Peter Hewitt
9,Peter Hyams
10,Martin Campbell
11,Rob Reiner
12,Mel Brooks
13,Simon Wells
14,Oliver Stone
15,Renny Harlin
16,Martin Scorsese
17,Ang Lee
18,Allison Anders
19,Steve Oedekerk
20,Joseph Ruben
21,Barry Sonnenfeld
22,Jon Amiel
23,Richard Donner
24,Victor Salva
25,Mike Figgis
26,Oliver Parker
27,Lesli Linka Glatter
28,Roger Michell
29,Marc Caro
30,Yimou Zhang
31,John N. Smith
32,Terry Gilliam
33,Jean-Jacques Annaud
34,Chris Noonan
35,Christopher Hampton
36,Tim Robbins
37,Stephen Low
38,Andy Tennant
39,Amy Heckerling
40,Darrell Roodt
41,Richard Loncraine
42,Albert Hughes
43,Michael Hoffman
44,Paul W.S. Anderson
45,Gus Van Sant
46,Jocelyn Moorhouse
47,David Fincher
48,Mike Gabriel
49,Patricia Rozema
50,Bryan Singer
51,Richard W. Munchkin
52,Woody Allen
53,Gianni Amelio
54,Holly Goldberg Sloan
55,Ulu Grosbard
56,Robert Tinnell
57,Jodie Foster
58,Michael Radford
59,Robert Lepage
60,Frank Oz
61,John Schlesinger
62,Stephen Herek
63,Paris Barclay
64,Bill Bennett
65,Jason Bloom
66,Farhad Mann
67,James Foley
68,Josiane Balasko
69,F. Gary Gray
70,Robert Rodriguez
71,Andrew Sipes
72,Noah Baumbach
73,Claude Lelouch
74,Michael Goldenberg
75,Steve Miner
76,Christian Duguay
77,Susanne Ofteringer
78,Sean Penn
79,Brian Gibson
80,Jafar Panahi
81,Gary Fleder
82,Marleen Gorris
83,Tim Reid
84,Henry Jaglom
85,Philip Haas
86,Ridley Scott
87,Ken Kwapis
88,Penelope Spheeris
89,John Badham
90,John Duigan
91,Stephen Frears
92,Wes Craven
93,Ted Demme
94,John Woo
95,Kenneth Branagh
96,Mathieu Kassovitz
97,Nick Broomfield
98,Harold Becker
99,Wes Anderson
100,Nick Castle
101,John Dahl
102,Dennis Dugan
103,Clint Eastwood
104,Doris Dörrie
105,Brian Henson
106,Robert Leacock
107,James Bruce
108,Mel Gibson
109,Stanley Tong
110,Barbet Schroeder
111,Mort Ransen
112,Étienne Chatiliez
113,Jon Blair
114,Benjamin Ross
115,Eric Schaeffer
116,Andrew Davis
117,Charles T. Kanganis
118,Reginald Hudlin
119,Kar-Wai Wong
120,Giuseppe Tornatore
121,David O. Russell
122,Peter MacDonald
123,Moufida Tlatli
124,Michel Negroponte
125,Bryan Gordon
126,Rebecca Miller
127,Michael Lindsay-Hogg
128,William Friedkin
129,Ángel Muñiz
130,Craig Baldwin
131,David S. Ward
132,Mark Rappaport
133,Dirk Shafer
134,Terence Davies
135,Sandip Ray
136,Jon Avnet
137,Mike Nichols
138,Jerzy Kaszubowski
139,Jakov Sedlar
140,Edward Burns
141,Michael Bay
142,Christopher Cain
143,Scott Kalvert
144,Mike Newell
145,Hal Hartley
146,Ron Howard
147,Michael Caton-Jones
148,Abel Ferrara
149,Joel Schumacher
150,Luis Buñuel
151,John Boorman
152,Paul Auster
153,Michael Moore
154,Brad Silberling
155,Spike Lee
156,Frank Marshall
157,Tony Scott
158,Terry Zwigoff
159,Carl Franklin
160,John McTiernan
161,Gregg Araki
162,Christopher Menaul
163,Jerry Zucker
164,Dwight H. Little
165,Iain Softley
166,Christopher Ashley
167,Robert Longo
168,Danny Cannon
169,John Fortenberry
170,Larry Clark
171,Tom DiCillo
172,Clive Barker
173,Denys Arcand
174,Antonia Bird
175,Kevin Smith
176,Bryan Spicer
177,David Anspaugh
178,Anthony Waller
179,Michael Almereyda
180,Irwin Winkler
181,Chris Columbus
182,Daisy von Scherler Mayer
183,Gregory Widen
184,Norman René
185,Todd Haynes
186,Roland Joffé
187,Brian Robbins
188,Paul Verhoeven
189,Wayne Wang
190,Lasse Hallström
191,Roger Donaldson
192,James Keach
193,Kathryn Bigelow
194,Jacques Demy
195,Wesley Strick
196,Martha Coolidge
197,Agnieszka Holland
198,Beeban Kidron
199,Geoff Murphy
200,Diane Keaton
201,Douglas Keeve
202,Alfonso Arau
203,Kevin Reynolds
204,Desmond Nakano
205,Walter Hill
206,Greg Beeman
207,Nikita Mikhalkov
208,Milcho Manchevski
209,Richard Linklater
210,Tamra Davis
211,Guy Ferland
212,Herbert Ross
213,Peter Horton
214,Stuart Gordon
215,Pat O'Connor
216,Jeremy Leven
217,Barry Levinson
218,René Bonnière
219,Jack Baran
220,Roman Polanski
221,Taylor Hackford
222,Peter Farrelly
223,Atom Egoyan
224,Garry Marshall
225,Tim Burton
226,Lawrence Kasdan
227,Billy Crystal
228,Phillip Borsos
229,Kevin Lima
230,Brett Leonard
231,Carlo Carlei
232,Gérard Corbiau
233,Mark Lewis
234,Art Clokey
235,Charles Burnett
236,Steve James
237,Peter Jackson
238,Randall Miller
239,Bernard Rose
240,Steven Brill
241,J.F. Lawton
242,Fred Schepisi
243,Neil Jordan
244,James Ivory
245,James Melkonian
246,Ivan Reitman
247,Arne Glimcher
248,Michael Gottlieb
249,George Lucas
250,Gillian Armstrong
251,Alfonso Cuarón
252,Ken Loach
253,Claude Chabrol
254,Edward Zwick
255,James Gray
256,Glenn Gordon Caron
257,Stephen Gyllenhaal
258,Nicholas Hytner
259,James Orr
260,Nora Ephron
261,Richard Benjamin
262,Les Mayfield
263,David Frankel
264,Gregory Nava
265,Marc Rocco
266,Robert Benton
267,Michael Apted
268,Nick Gomez
269,Tôru Murakawa
270,Vadim Jean
271,Albert Pyun
272,Alan Jacobs
273,Norman Jewison
274,Lee Tamahori
275,Anne Goursaud
276,Wolfgang Petersen
277,Luc Besson
278,Mira Nair
279,Joshua Brand
280,Quentin Tarantino
281,Mario Van Peebles
282,Robert Redford
283,Kayo Hatta
284,Patrice Chéreau
285,Sam Raimi
286,Peter Yates
287,Robert Altman
288,Krzysztof Kieslowski
289,Ping He
290,Fred Gerber
291,George Mihalka
292,Harold Ramis
293,Richard Rich
294,John Sayles
295,Luis Llosa
296,Roland Emmerich
297,John Pasquin
298,Frank Darabont
299,Danny Boyle
300,Scott McGehee
301,Tomás Gutiérrez Alea
302,George Huang
303,Geoff Burton
304,Kelly Makin
305,Rachel Talalay
306,Ernest R. Dickerson
307,David Carson
308,Rusty Cundieff
309,Brian Gilbert
310,John Carpenter
311,Peter Segal
312,Louis Malle
313,Steven Soderbergh
314,Preston A. Whitmore II
315,Jon Turteltaub
316,Mina Shum
317,P.J. Hogan
318,Melanie Mayron
319,Tom Shadyac
320,Stephan Elliott
321,Phillip Noyce
322,Jessie Nelson
323,Alex Proyas
324,Ron Shelton
325,Brian Levant
326,Robert Zemeckis
327,John Singleton
328,Darnell Martin
329,Andrew Bergman
330,Stephen Sommers
331,Ray Müller
332,Roger Allers
333,Bernardo Bertolucci
334,Chuck Russell
335,Alan Rudolph
336,Ben Stiller
337,Donald Petrie
338,Robert Allan Ackerman
339,Curtis Hanson
340,Jan de Bont
341,Ron Underwood
342,James Cameron
343,Luis Mandoki
344,Damian Harris
345,Suri Krishnamma
346,Jefery Levy
347,Keenen Ivory Wayans
348,Robert Lee King
349,Yves Angelo
350,Russ Meyer
351,Doug McHenry
352,Dave Borthwick
353,Steven E. de Souza
354,Wallace Wolodarsky
355,Michael A. Nickles
356,Paul Warner
357,Vincent Robert
