movieID,Year,Director,Actors,Languages
1,1995,John Lasseter,Tom Hanks|Tim Allen|Don Rickles,English
2,1995,Joe Johnston,Robin Williams|Kirsten Dunst|Bonnie Hunt,English|French
3,1995,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret,English
4,1995,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine,English
5,1995,Charles Shyer,Steve Martin|Diane Keaton|Martin Short,English
6,1995,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer,English|Spanish
7,1995,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear,English|French
8,1995,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Charles Rocket,English
9,1995,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry,English
10,1995,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco,English|Russian|Spanish
11,1995,Rob Reiner,Michael Douglas|Annette Bening|Martin Sheen,English|French
12,1995,Mel Brooks,Leslie Nielsen|Mel Brooks|Peter MacNicol,English|German
13,1995,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda,English
14,1995,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe,English|Mandarin|Russian
15,1995,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella,English
16,1995,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci,English
17,1995,Ang Lee,Emma Thompson|Kate Winslet|James Fleet,English|French
18,1995,Allison Anders,Tim Roth|Amanda De Cadenet|David Proval,English
19,1995,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow,English
20,1995,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez,English
21,1995,Barry Sonnenfeld,Gene Hackman|Rene Russo|Danny DeVito,English
22,1995,Jon Amiel,Sigourney Weaver|Holly Hunter|Dermot Mulroney,English
23,1995,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore,English|Dutch|Spanish
24,1995,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen,English
25,1995,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands,English|Russian
26,1995,Oliver Parker,Laurence Fishburne|Kenneth Branagh|Irène Jacob,English
27,1995,Lesli Linka Glatter,Christina Ricci|Demi Moore|Rosie O'Donnell,English
28,,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood,English
29,1995,Marc Caro,Ron Perlman|Daniel Emilfork|Judith Vittet,French|Cantonese
30,1995,Yimou Zhang,Li Gong|Baotian Li|Xiaoxiao Wang,Mandarin
31,1995,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance,English
32,1995,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt,English|French
33,1995,Jean-Jacques Annaud,Craig Sheffer|Elizabeth McGovern|Tom Hulce,English
34,1995,Chris Noonan,James Cromwell|Magda Szubanski|Christine Cavanaugh,English
35,1995,Christopher Hampton,Emma Thompson|Jonathan Pryce|Steven Waddington,English
36,1995,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky,English
37,1995,Stephen Low,Peter Reznick|John McDonough|Avi Hoffman,English|Russian
38,1995,Andy Tennant,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen,English
39,1995,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy,English|Spanish
40,1995,Darrell Roodt,Richard Harris|James Earl Jones|Vusi Kunene,English
41,1995,Richard Loncraine,Ian McKellen|Annette Bening|Jim Broadbent,English
42,1995,Albert Hughes,Larenz Tate|Keith David|Chris Tucker,English
43,1995,Michael Hoffman,Robert Downey Jr.|Sam Neill|David Thewlis,English|Latin
44,1995,Paul W.S. Anderson,Christopher Lambert|Robin Shou|Linden Ashby,English
45,1995,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix,English
46,1995,Jocelyn Moorhouse,Winona Ryder|Ellen Burstyn|Anne Bancroft,English
47,1995,David Fincher,Morgan Freeman|Brad Pitt|Kevin Spacey,English
48,1995,Mike Gabriel,Mel Gibson|Linda Hunt|Christian Bale,English|Algonquin
49,1995,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny,English
50,1995,Bryan Singer,Kevin Spacey|Gabriel Byrne|Chazz Palminteri,English|Hungarian|Spanish|French
51,1994,Richard W. Munchkin,Cynthia Rothrock|Daniel McVicar|Lydie Denier,English
52,1995,Woody Allen,Woody Allen|Mira Sorvino|Pamela Blair,English
53,1994,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani,Albanian|Italian
54,1995,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders,English
55,1995,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine,English|Hebrew
56,1995,Robert Tinnell,Johnny Morina|Maggie Castle|Christopher Olscamp,English
57,1995,Jodie Foster,Holly Hunter|Anne Bancroft|Robert Downey Jr.,English
58,1994,Michael Radford,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta,Italian|Spanish
59,1995,Robert Lepage,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette,French|English
60,1995,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse,English
61,1996,John Schlesinger,Sally Field|Kiefer Sutherland|Ed Harris,English|French|Spanish|Korean
62,1995,Stephen Herek,Richard Dreyfuss|Glenne Headly|Jay Thomas,English|American Sign Language
63,1996,Paris Barclay,Shawn Wayans|Marlon Wayans|Keenen Ivory Wayans,English|Spanish
64,1996,Bill Bennett,Sandra Bullock|Denis Leary|Stephen Dillane,English
65,1996,Jason Bloom,Pauly Shore|Stephen Baldwin|William Atherton,English
66,1996,Farhad Mann,Patrick Bergin|Matt Frewer|Austin O'Brien,English
67,1995,James Foley,Al Pacino|Mary Elizabeth Mastrantonio|Jerry Barone,English
68,1995,Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat,French|Spanish
69,1995,F. Gary Gray,Ice Cube|Chris Tucker|Nia Long,English
70,1996,Robert Rodriguez,Harvey Keitel|George Clooney|Juliette Lewis,English|Spanish
71,1995,Andrew Sipes,William Baldwin|Cindy Crawford|Steven Berkoff,English|Russian
72,1995,Noah Baumbach,Josh Hamilton|Eric Stoltz|Samuel Gould,English
73,1995,Claude Lelouch,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines,French|German|English
74,1996,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon,English
75,1996,Steve Miner,Rick Moranis|Tom Arnold|Julianne Phillips,English
76,1995,Christian Duguay,Peter Weller|Roy Dupuis|Jennifer Rubin,English
77,1995,Susanne Ofteringer,Nico|Tina Aumont|Christian Päffgen,English|German
78,1995,Sean Penn,Jack Nicholson|David Morse|Anjelica Huston,English
79,1996,Brian Gibson,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt,English
80,1995,Jafar Panahi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy,Persian
81,1995,Gary Fleder,Andy Garcia|Christopher Walken|Christopher Lloyd,English
82,1995,Marleen Gorris,Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop,Dutch
